id,nameeng,nameamh,position,placeofassignment,detail,,
1643,Firenesh Mekuriya Gobena,ወ/ሮ ፍሬነሽ መኩሪያ ,ምክትል ኮሚሽነር ,አካባቢ፣ የደንና የአየር ንብረት ለውጥ ኮሚሽን ,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1644,Kebede Yimam,አቶ ከበደ ይማም ,ምክትል ኮሚሽነር,አካባቢ፣ የደንና የአየር ንብረት ለውጥ ኮሚሽን    ,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1645,Werdi Hashim,አቶ ወርዲ ሃሽም ,የሀገዋና ዳይሬክተር ,አካባቢ፣ የደንና የአየር ንብረት ለውጥ ኮሚሽን    ,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1646,Nigussu Lemma,አቶ ንጉሱ ለማ ,የአየር ንብረት ዋና ዳይሬክተር ,አካባቢ፣ የደንና የአየር ንብረት ለውጥ ኮሚሽን    ,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1647,Dr. Melesse Mariyo,ዶ/ር መለስ ማርዮ,ዋና ዳይሬክተር ,ብዘሐ ሕይወት ኢንስቲትዩት ,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1648,Dr. Feleke Weldeyes,ዶ/ር ፈለቀ ወልደየስ ,ምክትል ዋና ዳይሬክተር ,ብዘሐ ሕይወት ኢንስቲትዩት ,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1649,Dr. Abyiot Birhanu,ዶ/ር አብዮት ብርሃኑ ,ዋና ዳይሬክተር ,አካባቢና ደን ምርምር ኢንስቲትዩት ,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1650,Dr. Agiena Anjelo,ዶ/ር አጌና አንጀሎ ,ምክትል ዋና ዳይሬክተር ,አካባቢና ደን ምርምር ኢንስቲትዩት ,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1651,Kumer Waqjira,አቶ  ኩመራ ዋቅጅራ ,ዋና ዳይሬክተር ,ዱር እንስሳ ልማት ጥበቃ ባለሥልጣን,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1652,Solomon Mekonnen BULA,አቶ ሰለሞን መኮንን ,ምክትል ዋና ዳይሬክተር ,ዱር እንስሳ ልማት ጥበቃ ባለሥልጣን,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1653,Dr. Efriem Teklie,ዶ/ር ኤፍሬም ተክሌ,ኮሚሽነር ,ሥራ ዕድል ፈጠራ ኮሚሽን,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1654,Dr. Yinager Dessie,ክቡር ዶ/ር ይናገር ደሴ ,ገዥ,ብሔራዊ ባንክ ,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1655,Yemane Yossef Tesfaye,አቶ የማነ ዮሴፍ ተስፋዬ,ምክትል ገዥ ,ብሔራዊ ባንክ ,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1656,Tiruneh Mitaf,ክቡር ጥሩነህ ምጣፍ ,ምክትል ገዥ ,ብሔራዊ ባንክ ,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1657,Sileshi Girma,አቶ ስለሺ ግርማ ,ዋና ዳይሬክተር ,ቱሪዝም ኢትዮጵያ ,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1658,Sertse Firesibhat,አቶ ሰርፀ ፍሬስብሃት ,ምክትል  ዋና ዳይሬክተር ,ቱሪዝም ኢትዮጵያ ,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1659,Dr. Hagos Abrha,ዶ/ር ሐጎስ አብርሃ ,ምክትል ዋና ዳይሬክተር ,ቱሪዝም ኢትዮጵያ ,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1660,Tefera Fikrie,አቶ ተፈራ ፍቅሬ,ዋና ዳይሬክተር ,ቤተመንግስት አስተዳደር ,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1661,Lensa Mekonnen,ወ/ት ሌንሳ መኮንን ,ዋና ዳይሬክተር ,የመሬት ባንክና ልማት ኮርፖሬሽን,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1662,Tesfaye Worede,አቶ ተስፋዬ ወረደ ,የፅ/ቤቱ ኃላፊ ዋና ዳይሬክተር ,እርቀ ሰላም ኮሚሽን,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1663,Tewolde G/Mariyam,ተወልደ ገ/ማሪያም ,ዋና ሥራ አስፈጻሚ,የኢትዮጵያ አየር መንገድ ,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1664,Firehiwot Tamiru,ፍሬሕይወት ታምሩ,ዋና ሥራ አስፈጻሚ,ኢትዮ ቴሌኮም ,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1665,Bacha Gina,አቶ ባጫ ጊና ,ኃላፊ,ንግድ ባንክ ,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1666,Haileyesus Bekele,አቶ ኃይለየሱስ  በቀለ,ኃላፊ,ልማት ባንክ ,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1667,TESHOME ALEMAYEHU,አቶ ተሾመ አለማየሁ ,ምክትል,ልማት ባንክ ,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1668,Ahadu G/Egziabher,አቶ አሀዱ ገ/እግዚአብሔር ,ምክትል ,ልማት ባንክ ,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1669,Getachew Waqie,አቶ   ጌታቸው ዋቄ ,ምክትል,ልማት ባንክ ,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1670,Tsige Genet,አቶ ጽጌ ገነት,ምክትል ,ልማት ባንክ ,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1671,B/General Ahmed Hamza,ብ/ጀኔራል አህመድ ሀምዛ ,ዋና ዳይሬክተር,ብረታ ብረት ኢንጂነሪንግ ኮርፖሬሽን,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1672,Awol Abdi,አቶ አወል አብዲ,ምክትል ዋና ዳይሬክተር ,ብረታ ብረት ኢንጂነሪንግ ኮርፖሬሽን,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1673,Dr.Alemu Sime,ዶ/ር አለሙ ስሜ ,ምክትል ዋና ዳይሬክተር ,ብረታ ብረት ኢንጂነሪንግ ኮርፖሬሽን,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1674,Beyene G/Mesqel Mada,አቶ በየነ ገብረመስቀል,ዋና ዳይሬክተር,መንግሥት የልማት ድርጅቶች ይዞታና አስተዳደር ኤጀንሲ,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1675,Habtamu H/Michael,አቶ ሀብታሙ ኃ/ሚካኤል ,ም/ዋና ዳይሬክተር ,መንግሥት የልማት ድርጅቶች ይዞታና አስተዳደር ኤጀንሲ,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1676,Kefyalew Birhanu,አቶ ከፍያለው ብርሃኑ,ዋና  ሥራ አስፈጻሚ ,ኢትዮጵያ ግብርና ሥራዎች ኮርፖሬሽን ,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1677,Mulugeta Seid,አቶ ሙሉጌታ ሰይድ ,ዋና  ሥራ አስፈጻሚ ,የኢትዮጵያ  ማዕድን ነዳጅና ባዮ ፊውል ኮርፖሬሽን ,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1678,Woyo Roba,አቶ ወዩ ሮባ ,ዋና  ሥራ አስፈጻሚ ,የኢትዮጵያ ስኳር ኮርፖሬሽን ,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1679,Roba Megersa,አቶ ሮባ መገርሳ ,ዋና ዳይሬክተር,ባህር ትራንስፖርትና ሎጀስቲክ አገልግሎት ,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1680,Tebabal Wudneh Gelaye,አቶ ተባባል ውድነህ ገላዬ,ሥራ አስኪያጅ ,ኬሚካል ኢንዱስትሪ ኮርፖሬሽን ,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1681,H/Meskel Tefera,አቶ ኃ/መስቀል ተፈራ ,ከሹመት  የተነሳ ,የኢትዮጵያ የኮንስትራክሽን ሥራዎች ኮርፖሬሽን ,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1682,Dr. Enginner Negede Abate,ዶ/ር  ኢ/ር ነገደ አባተ,ሥራ አስኪያጅ ,የኢትዮጵያ የኮንስትራክሽን ዲዛይንና ሱፐርቪዥን ሥራዎች ኮርፖሬሽን,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1683,Tariku Berasu,አቶ ታሪኩ በራሱ,ሥራ አስኪያጅ ,የኢትዮጵያ ንግድ ሥራዎች ኮርፖሬሽን ,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1684,Gidey G/Yohannes,አቶ ግደይ ገ/ዮሐንስ ,ሥራ አስኪያጅ ,የኢትዮጵያ ፖስታ አገልግሎት ድርጅት ,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1685,Hailemariyam Gidey,አቶ ኃይለማርያም ግደይ,ሥራ አስኪያጅ ,ብሔራዊ አልኮልና አረቄ ፋብሪካ ,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1686,Shitahun Wale,አቶ ሽታሁን ዋለ (ተወካይ),ሥራ አስኪያጅ ,ብርሃንና ሰላም ማተሚያ ድርጅት ,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1687,G/Tsadkqan Abay,አቶ ገ/ፃድቃን አባይ,ሥራ አስኪያጅ ,የግዮን ሆቴሎች ድርጅት ,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1688,Abrham Teshome,አቶ አብርሃም ተሾመ,ሥራ አስኪያጅ ,የኢትዮጵያ ፐልፕና ወረቀት አክስዬን ማህበር ,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1689,Assefa Guya,አቶ አሰፋ ጉያ ,ሥራ አስኪያጅ ,የኢትዮጵያ ቱሪስት ንግድ ሥራ ድርጅት ,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1690,Mulugeta Mengiste,አቶ ሙሉጌታ መንግስቴ,ሥራ አስኪያጅ ,ሸበሌ ትራንስፖርት አክስዬን ማህበር ,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1691,Mulugeta Eshetu,አቶ ሙሉጌታ እሽቱ ,ሥራ አስኪያጅ ,የሆቴሎች ልማት አክስዬን ማህበር (አድስ አበባ ሒልተን ),FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1692,Netsanet Lemmesa,አቶ ነፃነት  ለሜሳ,ሥራ አስኪያጅ ,የኢትዮጵያ መድን ድርጅት ,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1693,Negaso Gidada ,ነጋሶ ጊዳዳ,Former president ,-,OTHER PEPS & REPRESENTATIVES OF OTHER POLETICA PARTIES ,,
1695,Mulatu Teshome ,ሙላቱ ተሾመ,Former president ,-,OTHER PEPS & REPRESENTATIVES OF OTHER POLETICA PARTIES ,,
1697,Sahlework Zewdie,ሳህለወርቅ ዘዉዴ,Current president,-,OTHER PEPS & REPRESENTATIVES OF OTHER POLETICA PARTIES ,,
1701,Hailemariam Desalegn Boshe ,ሀ/ማሪያም ደሳለ„ ቦሼ,Former prime Minister ,-,OTHER PEPS & REPRESENTATIVES OF OTHER POLETICA PARTIES ,,
1704,Zinash Tayachew ,ዝናሽ ታያቸዉ,Wife of the current prime Minister ,-,OTHER PEPS & REPRESENTATIVES OF OTHER POLETICA PARTIES ,,
1706,Habib Ali Mirah ,ሀቢብ አሊ ሚራህ,Former president of Afar Region  ,-,OTHER PEPS & REPRESENTATIVES OF OTHER POLETICA PARTIES ,,
1707,Hanfareh Ali Mirah,ሀንፍሬ አሊ ሚራህ,Former president of Afar Region  ,-,OTHER PEPS & REPRESENTATIVES OF OTHER POLETICA PARTIES ,,
1708,Ismail Ali Serro,እስማኤል አሊ አወል,Former president of Afar Region  ,-,OTHER PEPS & REPRESENTATIVES OF OTHER POLETICA PARTIES ,,
1709,Seyoum Awel ,ስዩም አወል,Former president of Afar Region  ,-,OTHER PEPS & REPRESENTATIVES OF OTHER POLETICA PARTIES ,,
1710,Awol Arba ,አወል አርባ,President of Afar region ,-,OTHER PEPS & REPRESENTATIVES OF OTHER POLETICA PARTIES ,,
1711,Gedu Andargachew ,ገዱ አንዳርጋቸዉ,President of Amhara Region ,-,OTHER PEPS & REPRESENTATIVES OF OTHER POLETICA PARTIES ,,
1712,Addisu Legesse ,አዲሱ ለገሰ,Former Amhara region President ,-,OTHER PEPS & REPRESENTATIVES OF OTHER POLETICA PARTIES ,,
1713,Yoseph Reta ,ዮሴፍ ረታ,Former Amhara region President ,-,OTHER PEPS & REPRESENTATIVES OF OTHER POLETICA PARTIES ,,
1714,Ayalew Gobeze,አያሌዉ ጎበዜ,Former Amhara region President ,-,OTHER PEPS & REPRESENTATIVES OF OTHER POLETICA PARTIES ,,
1715,Atom Mustafa,አቶም ሙስጠፋ,Former president of Benshangul Gumz Region  ,-,OTHER PEPS & REPRESENTATIVES OF OTHER POLETICA PARTIES ,,
1716,Atieb Ahmed,አጠይብ አህመድ,Former president of Benshangul Gumz Region  ,-,OTHER PEPS & REPRESENTATIVES OF OTHER POLETICA PARTIES ,,
1717,Abdu Mohammed,አብዱ ሞሀመድ,Former president of Benshangul Gumz Region  ,-,OTHER PEPS & REPRESENTATIVES OF OTHER POLETICA PARTIES ,,
1718,Yaregal Aysheshum,ያረጋል አይሸሹም,Former president of Benshangul Gumz Region  ,-,OTHER PEPS & REPRESENTATIVES OF OTHER POLETICA PARTIES ,,
1719,Ahmed Nasir Ahmed,አህመድ ናስር አህመድ,Former president of Benshangul Gumz Region  ,-,OTHER PEPS & REPRESENTATIVES OF OTHER POLETICA PARTIES ,,
1720,Ashadli Hassen,አሻድሊ ሀሰን,President of Benshangul Gumz ,-,OTHER PEPS & REPRESENTATIVES OF OTHER POLETICA PARTIES ,,
1721,Okello Ouman ,ኦኬሎ ኦማን,Former president of Gambella region ,-,OTHER PEPS & REPRESENTATIVES OF OTHER POLETICA PARTIES ,,
1722,Okello Gnigelo,ኦኬሎ ጅንግሎ,Former president of Gambella region ,-,OTHER PEPS & REPRESENTATIVES OF OTHER POLETICA PARTIES ,,
1723,Okello Akway,ኦኬሎ አክወይ,Former president of Gambella region ,-,OTHER PEPS & REPRESENTATIVES OF OTHER POLETICA PARTIES ,,
1724,Keat Tuach Bithow (acting) ,ከአት ቱአች ቢቶዉ,Former president of Gambella region ,-,OTHER PEPS & REPRESENTATIVES OF OTHER POLETICA PARTIES ,,
1725,Umed Ubong,ኡመድ ኡቦንግ,Former president of Gambella region ,-,OTHER PEPS & REPRESENTATIVES OF OTHER POLETICA PARTIES ,,
1726,Gatluak Tut Koat,ጋአትሉአክ ቱት ኮት,Former president of Gambella region ,-,OTHER PEPS & REPRESENTATIVES OF OTHER POLETICA PARTIES ,,
1727,Omot Ojullu Obup,ኡመት ኡጅሉ ኦቡፕ,President of Gambella Region,-,OTHER PEPS & REPRESENTATIVES OF OTHER POLETICA PARTIES ,,
1728,Gatur,ጋአተር,Former president of Hareri,-,OTHER PEPS & REPRESENTATIVES OF OTHER POLETICA PARTIES ,,
1729,Haji Gotu,ሀጂ ጉቱ,Former president of Hareri,-,OTHER PEPS & REPRESENTATIVES OF OTHER POLETICA PARTIES ,,
1730,Abdulahi Idris Ibrahim,አብዱላሂ እድሪስ ኢብራሂም,Former president of Hareri,-,OTHER PEPS & REPRESENTATIVES OF OTHER POLETICA PARTIES ,,
1731,Gazali Mohammed,ጋዛሊ ሞሃመድ,Former president of Hareri,-,OTHER PEPS & REPRESENTATIVES OF OTHER POLETICA PARTIES ,,
1732,Nuria Abdulahi (f),ኑሪያ አብዱላሂ,Former president of Hareri,-,OTHER PEPS & REPRESENTATIVES OF OTHER POLETICA PARTIES ,,
1733,Fuad Ibrahim ,ፉአድ ኢብራሂም,Former president of Hareri,-,OTHER PEPS & REPRESENTATIVES OF OTHER POLETICA PARTIES ,,
1734,Murad Abdulhadin ,ሙራድ አብዱለሀዲን, current President of Hareri,-,OTHER PEPS & REPRESENTATIVES OF OTHER POLETICA PARTIES ,,
1735,Hassen Ali,ሀሰን አሊ,Former president of Oromia region,-,OTHER PEPS & REPRESENTATIVES OF OTHER POLETICA PARTIES ,,
1736,Kuma Demeksa,ኩማ ደመቅሳ,Former president of Oromia region,-,OTHER PEPS & REPRESENTATIVES OF OTHER POLETICA PARTIES ,,
1737,Junedin Sado,ጁነዲን ሳዶ,Former president of Oromia region,-,OTHER PEPS & REPRESENTATIVES OF OTHER POLETICA PARTIES ,,
1738,Abadulla Gemeda ,አባዱላ ገመዳ,Former president of Oromia region,-,OTHER PEPS & REPRESENTATIVES OF OTHER POLETICA PARTIES ,,
1739,Alemayehu Atomsa ,አለማየሁ አቶምሳ,Former president of Oromia region,-,OTHER PEPS & REPRESENTATIVES OF OTHER POLETICA PARTIES ,,
1740,Muktar Kedir,ሙክታር ከድር,Former president of Oromia region,-,OTHER PEPS & REPRESENTATIVES OF OTHER POLETICA PARTIES ,,
1741,Lemma Megersa   ,ለማ መገርሳ,Current president of Oromia,-,OTHER PEPS & REPRESENTATIVES OF OTHER POLETICA PARTIES ,,
1742,Abdulahi Muhammed Sa'adi ,አብዱላሂ ሞሃመድ ሳዲ,Former president of  Somali region,-,OTHER PEPS & REPRESENTATIVES OF OTHER POLETICA PARTIES ,,
1743,Hassan Jire Kalinle ,ሀሰን ጂሬ ካሊንሌ,Former president of  Somali region,-,OTHER PEPS & REPRESENTATIVES OF OTHER POLETICA PARTIES ,,
1744,Ugaz Abdulrahman Abd Ghani ,ኡጋዝ አብዱራህማን አበድገአኒ,Former president of  Somali region,-,OTHER PEPS & REPRESENTATIVES OF OTHER POLETICA PARTIES ,,
1745,Id Tahir Farah ,ኢድ ጣሂር ፋራሀ,Former president of  Somali region,-,OTHER PEPS & REPRESENTATIVES OF OTHER POLETICA PARTIES ,,
1746,Mohammed Ma'alin Ali,ሞሃመድ ማሊን አሊ,Former president of  Somali region,-,OTHER PEPS & REPRESENTATIVES OF OTHER POLETICA PARTIES ,,
1747,Abdul Reshid Dulane ,አብዱል ረሺድ ዱላኔ,Former president of  Somali region,-,OTHER PEPS & REPRESENTATIVES OF OTHER POLETICA PARTIES ,,
1748,Abdul Jibril (acting),አብዱል ጅብሪል,Former president of  Somali region,-,OTHER PEPS & REPRESENTATIVES OF OTHER POLETICA PARTIES ,,
1749,Abdulahi Hassen Mohammed,አብዱላሂ ሀሰን ሞሃመድ,Former president of  Somali region,-,OTHER PEPS & REPRESENTATIVES OF OTHER POLETICA PARTIES ,,
1750,Da'ud Mohamed Ali  ,ዳዉድ ሞሃመድ አሊ,Former president of  Somali region,-,OTHER PEPS & REPRESENTATIVES OF OTHER POLETICA PARTIES ,,
1751,"Abdi Mohamed Omar ""Abdi Iley"" ",አብዲ ሞሀመድ ኦመር /አብዲ ኤሌ/,Former president of  Somali region,-,OTHER PEPS & REPRESENTATIVES OF OTHER POLETICA PARTIES ,,
1752,"Ahmed Abdi Mohamed ""Ilkacase""(acting)",አህመድ አብዲ ሞሀመድ ,Former president of  Somali region,-,OTHER PEPS & REPRESENTATIVES OF OTHER POLETICA PARTIES ,,
1753,Mustafa Muhumed Omer (acting),ሙስጠፋ ሞሃመድ ኦመር,current  president  of Somali region,-,OTHER PEPS & REPRESENTATIVES OF OTHER POLETICA PARTIES ,,
1754,Abate Kisho ,አባተ ኪሾ,Former president of SNNP,-,OTHER PEPS & REPRESENTATIVES OF OTHER POLETICA PARTIES ,,
1755,Shiferaw Shigutie,ሺፈራዉ  ሽጉጤ,Former president of SNNP,-,OTHER PEPS & REPRESENTATIVES OF OTHER POLETICA PARTIES ,,
1756,Dessie Dalke  ,ደሴ ዳልኬ,Former president of SNNP,-,OTHER PEPS & REPRESENTATIVES OF OTHER POLETICA PARTIES ,,
1757,Million Mathewos (Mathios) Korsisa,ሚሊዮን ማቲዎስ,Current president of SNNP,-,OTHER PEPS & REPRESENTATIVES OF OTHER POLETICA PARTIES ,,
1758,Gebru Asrat,ገብሩ አስራት,Former president of Tigray,-,OTHER PEPS & REPRESENTATIVES OF OTHER POLETICA PARTIES ,,
1759,Tsegay Berhe (Acting),ፀጋይ በርሄ,Former president of Tigray,-,OTHER PEPS & REPRESENTATIVES OF OTHER POLETICA PARTIES ,,
1760,Abay Woldu,አባይ ወልዱ,Former president of Tigray,-,OTHER PEPS & REPRESENTATIVES OF OTHER POLETICA PARTIES ,,
1761,Abay Tsehaye ,አባይ ፀሀየ,Excutive member of TPLF,-,OTHER PEPS & REPRESENTATIVES OF OTHER POLETICA PARTIES ,,
1762,Fetlework G/egziabher,ፈትለ ወርቅ ገ/እግዚያብሄር,dep. Chairperson of TPLF & Min.of trade & industry,-,OTHER PEPS & REPRESENTATIVES OF OTHER POLETICA PARTIES ,,
1763,Debretsion Gebremichael,ደብረፅዮን ገብረሚካኤል,Current president of Tigray,-,OTHER PEPS & REPRESENTATIVES OF OTHER POLETICA PARTIES ,,
1764,Asmelash Woldeselassie,አስመላሽ ወ/ስላሴ,members of the TPLF executive committee,-,OTHER PEPS & REPRESENTATIVES OF OTHER POLETICA PARTIES ,,
1765,Abraham Tekeste,አብረሀም ተከስተ,members of the TPLF executive committee,-,OTHER PEPS & REPRESENTATIVES OF OTHER POLETICA PARTIES ,,
1766,Getachew Reda,ጌታቸዉ ረዳ,members of the TPLF executive committee,-,OTHER PEPS & REPRESENTATIVES OF OTHER POLETICA PARTIES ,,
1767,Kerya Ibrahim ,ኬሪያ ኢብራሂም,members of the TPLF executive committee,-,OTHER PEPS & REPRESENTATIVES OF OTHER POLETICA PARTIES ,,
1773,Takele Uma Benti,ታከለ ኡማ በንቲ,Ministry of Mines and Petroleum.,-,OTHER PEPS & REPRESENTATIVES OF OTHER POLETICA PARTIES ,,
1774,Habatmu Assefa Wakjira,ሀብታሙ አሰፋ ወቅጅራ,Administrator of Diredawa ,-,OTHER PEPS & REPRESENTATIVES OF OTHER POLETICA PARTIES ,,
1775,Ismail Aw Adem,እስማኤል አዉ አደም ,Chairman of the Provisional Administration of Diredawa,-,OTHER PEPS & REPRESENTATIVES OF OTHER POLETICA PARTIES ,,
1776,Solomon Hailu,ሰሎሞን ሀይሉ,Chairman of Administration Council of Diredawa,-,OTHER PEPS & REPRESENTATIVES OF OTHER POLETICA PARTIES ,,
1777,Fiseha Zerihun,ፍሰሀ ዘሪሁን,Chief Administrator of Diredawa,-,OTHER PEPS & REPRESENTATIVES OF OTHER POLETICA PARTIES ,,
1778,Abdulaziz Mohammed ,አብዱላዚዝ ሞሀመድ, Former Mayor of Diredawa,-,OTHER PEPS & REPRESENTATIVES OF OTHER POLETICA PARTIES ,,
1779,Adem Farah ,አደም ፋራህ, Former Mayor of Diredawa,-,OTHER PEPS & REPRESENTATIVES OF OTHER POLETICA PARTIES ,,
1780,Ased Ziad,አሰድ ዚያድ, Former Mayor of Diredawa,-,OTHER PEPS & REPRESENTATIVES OF OTHER POLETICA PARTIES ,,
1781,Ibrahim Usman,ኢብራሂም ኡስማን, Former Mayor of Diredawa,-,OTHER PEPS & REPRESENTATIVES OF OTHER POLETICA PARTIES ,,
1782,Seyoum Mesfin Gebredingel ,ስዩም መስፍን ገ/ድንግል,former Minister of foreign Affairs  & Currently ambassador ,-,OTHER PEPS & REPRESENTATIVES OF OTHER POLETICA PARTIES ,,
1783,Birhane Gebre-Kirstos (Acting),ብርሀነ ገ/ክርስቶስ,former Minister of foreign Affairs ,-,OTHER PEPS & REPRESENTATIVES OF OTHER POLETICA PARTIES ,,
1784,Workeneh Gebeyehu Goshu,ወርቅነህ ገበየሁ ጎሹ,Current minister of Foreign Affairs ,-,OTHER PEPS & REPRESENTATIVES OF OTHER POLETICA PARTIES ,,
1785,Tewdros Adhanom Gebreyesus,ቴዉድሮስ አድሀኖም ገ/የሱስ,former Minister of foreign Affairs ,-,OTHER PEPS & REPRESENTATIVES OF OTHER POLETICA PARTIES ,,
1789,Birhanu Tsegaye,ብርሀነኑ ፀጋየ,Attorney General,-,OTHER PEPS & REPRESENTATIVES OF OTHER POLETICA PARTIES ,,
1790, Dr. Amir Aman Hagos,አሚር አማን ሀጎስ,Minister of Health,-,OTHER PEPS & REPRESENTATIVES OF OTHER POLETICA PARTIES ,,
1791,Getahun Mekuria,ጌታሁን መኩሪያ,Minister of Innovation and Technology,-,OTHER PEPS & REPRESENTATIVES OF OTHER POLETICA PARTIES ,,
1792,Sofyan Ahmed ,ሶፍያን አህመድ, Former Ministry Of Finance & ED,-,OTHER PEPS & REPRESENTATIVES OF OTHER POLETICA PARTIES ,,
1793,Ahmed Shide,አህመድ ሽዴ,Current Ministry of Finance and president of Somali region,-,OTHER PEPS & REPRESENTATIVES OF OTHER POLETICA PARTIES ,,
1794,Dagmawit Moges,ዳግማዊት ሞገስ,Minister of transport ,-,OTHER PEPS & REPRESENTATIVES OF OTHER POLETICA PARTIES ,,
1795,Siraj Fergesa,ሲራጅ ፈርጌሳ,Former ministry of transport,-,OTHER PEPS & REPRESENTATIVES OF OTHER POLETICA PARTIES ,,
1796,Tilaye Gete Ambaye,ጥላየ ጌቴ አምባየ,Minister of Education,-,OTHER PEPS & REPRESENTATIVES OF OTHER POLETICA PARTIES ,,
1797,Omer Husen,ኦመር ሁሴን,Minister of Agri.& Livestock,-,OTHER PEPS & REPRESENTATIVES OF OTHER POLETICA PARTIES ,,
1798,Jantirar Abay,ጃንጥራር አባይ,Minister of Urban Development and Construction,-,OTHER PEPS & REPRESENTATIVES OF OTHER POLETICA PARTIES ,,
1799,Samuel Hurka,ሳሙኤል ሁርቃ,Ministry of Science and Higher Education.,-,OTHER PEPS & REPRESENTATIVES OF OTHER POLETICA PARTIES ,,
